City	Murder	Rape	Robbery	Assault	Burglary Larceny  Autotheft
Atlanta	16.5	24.8	106	147	1112	  905		494
Boston	4.2	13.3	122	90	983	  669		954
Chicago	11.6	24.7	340	242	808	  609		645
Dallas	18.1	34.2	184	293	1668	  901		602
Denver	6.9	41.5	173	191	1534	  1368		780
Detroit	13	35.7	477	220	1566	  1183		788
Hartfo	2.5	8.8	68	103	1017	  724		468
Honolu	3.6	12.7	42	28	1457	  1102		653
Houston	16.8	26.6	289	186	1509	  787		697
Kansas	10.8	43.2	255	226	1494	  955		765
LosA	9.7	51.8	286	355	1902	  1386		862
NewOr	10.3	39.7	266	283	1056	  1036		776
NewYor	9.4	19.4	522	267	1674	  1392		848
Portlan	5	23	157	144	1530	  1281		488
Tuscon	5.1	22.9	85	148	1206	  756		483
Washing	12.5	27.6	524	217	1496	  1003		739
