city,year,field,Period,block,plot,covercrop,seq2,depth,pH,P,SOM,DB,WAS,TN,NO3,RP
Urbana,2002,1,corn,1,1,mix,1,0-5cm,4.47,60.5,52.3,1.25,45.7,0.16,118,1062
Urbana,2002,1,corn,1,2,fallow,0,0-5cm,5.02,46,43.1,1.36,42,0.18,109,1523
Urbana,2002,1,corn,1,3,vetch,1,0-5cm,5.8,41.5,36.8,1.37,48.9,0.15,98.8,1227
Urbana,2002,1,corn,1,4,rye,1,0-5cm,6.03,58,43.9,1.21,54,0.15,74.8,1037
Urbana,2002,1,corn,2,5,rye,1,0-5cm,4.01,35.5,43.9,1.1,57.6,0.13,61.3,1024
Urbana,2002,1,corn,2,6,mix,1,0-5cm,4.4,41,36.8,1.46,41.5,0.12,16.2,1082
Urbana,2002,1,corn,2,7,fallow,0,0-5cm,5.52,55,41.6,1.26,41,0.12,54.8,1544
Urbana,2002,1,corn,2,8,vetch,1,0-5cm,5.79,47,46.8,1.21,41,1.58,41.1,1013
Urbana,2002,1,corn,3,9,rye,1,0-5cm,4.85,44,48,1.19,36.8,0.96,6.73,1045
Urbana,2002,1,corn,3,10,vetch,1,0-5cm,5.67,56,43.9,1.26,67.5,1.08,6.83,1020
Urbana,2002,1,corn,3,11,fallow,0,0-5cm,5.05,55,38.7,1.34,48.6,1.51,24.1,1326
Urbana,2002,1,corn,3,12,mix,1,0-5cm,6.47,42.5,44.9,1.31,47.7,0.09,19.5,1001
Urbana,2002,1,corn,4,13,fallow,0,0-5cm,5.64,40.5,41.5,1.31,40.2,0.1,21.9,1217
Urbana,2002,1,corn,4,14,rye,1,0-5cm,6.07,71.5,43,1.26,58.3,0.16,25.3,868
Urbana,2002,1,corn,4,15,vetch,1,0-5cm,5.17,47.5,45.7,1.19,48.6,0.09,9.95,846
Urbana,2002,1,corn,4,16,mix,1,0-5cm,5.46,49,44.5,1.24,52.2,0.13,1.19,924
Urbana,2002,2,soybean,1,17,vetch,1,0-5cm,5.79,53.5,43.2,1.28,50,0.12,3.67,1449
Urbana,2002,2,soybean,1,18,fallow,0,0-5cm,6.63,55.5,37.6,1.56,39.9,0.12,3.62,1416
Urbana,2002,2,soybean,1,19,rye,1,0-5cm,6.49,56.5,39.9,1.3,49.4,0.11,3.81,1349
Urbana,2002,2,soybean,1,20,mix,1,0-5cm,6.44,49,44.1,1.26,53.4,0.1,4.34,869
Urbana,2002,2,soybean,2,21,vetch,1,0-5cm,6.59,37,43.9,1.42,55,0.12,38.7,1255
Urbana,2002,2,soybean,2,22,mix,1,0-5cm,6.61,59.5,40.7,1.14,64.2,1.49,41.5,1294
Urbana,2002,2,soybean,2,23,rye,1,0-5cm,6.52,37,40.3,1.38,46.9,1.5,42.5,1111
Urbana,2002,2,soybean,2,24,fallow,0,0-5cm,5.65,53.5,40.1,1.48,48.2,1.44,53.5,1374
Urbana,2002,2,soybean,3,25,vetch,1,0-5cm,6.11,36.5,39.8,1.32,54.2,1.42,13.3,1597
Urbana,2002,2,soybean,3,26,mix,1,0-5cm,6.83,44,37.3,1.25,59.9,0.12,15.3,1085
